0;Alaskan Brewing Co.
1;Long Trail Brewing Co.
2;Long Trail Brewing Co.
3;Uerige Obergärige Hausbrauerei GmbH / Zum Uerige
4;Ninkasi Brewing Company
5;Uerige Obergärige Hausbrauerei GmbH / Zum Uerige
6;Widmer Brothers Brewing Company
7;Southampton Publick House
8;The Olde Mecklenburg Brewery
9;Brauerei Pinkus Mueller
10;Uerige Obergärige Hausbrauerei GmbH / Zum Uerige
11;Yazoo Brewing Company
12;Free State Brewing Co.
13;Fordham Brewing Company
14;Victory Brewing Company
15;Mother's Brewing Company
16;Rising Tide Brewing Company
17;Tuckerman Brewing Co.
18;Hops & Grain
19;August Schell Brewing Company
20;Privatbrauerei Frankenheim
21;Metropolitan Brewing
22;Brauerei Diebels GmbH & Co KG
23;Mission Brewery
24;Hövels Hausbrauerei
25;Evolution Craft Brewing Company
26;Cheboygan Brewing Company
27;Les Trois Mousquetaires
28;Driftwood Brewery
29;Rahr & Sons Brewing Company
30;Grimm Brothers Brewhouse
31;Beau's All Natural Brewing Company
32;Buzzards Bay Brewing
33;Rush River Brewing Company
34;Brauerei Im Füchschen
35;O'Fallon Brewery
36;Blue Mountain Brewery
37;COAST Brewing Company
38;Detroit Beer Co.
39;Dogfish Head Brewery
40;Central Waters Brewing Company
41;Great Divide Brewing Company
42;Victory Brewing Company
43;Three Floyds Brewing Co. & Brewpub
44;Lagunitas Brewing Company
45;AleSmith Brewing Company
46;Tröegs Brewing Company
47;Rogue Ales
48;Hair of the Dog Brewing Company / Brewery and Tasting Room
49;Firestone Walker Brewing Co.
50;Uinta Brewing Company
51;Brasserie Dieu Du Ciel
52;Uinta Brewing Company
53;Green Flash Brewing Co.
54;21st Amendment Brewery
55;Boulder Beer / Wilderness Pub
56;Alpine Beer Company
57;Boston Beer Company (Samuel Adams)
58;Real Ale Brewing Company
59;East End Brewing Company
60;The Duck-Rabbit Craft Brewery
61;Rock Art Brewery
62;Smuttynose Brewing Company
63;Mad River Brewing Company
64;Three Floyds Brewing Co. & Brewpub
65;Great Divide Brewing Company
66;Nøgne Ø - Det Kompromissløse Bryggeri A/S
67;AleSmith Brewing Company
68;DuClaw Brewing Company
69;Mikkeller ApS
70;Santa Fe Brewing Company
71;Big Sky Brewing Company
72;Moylan's Brewery
73;Middle Ages Brewing Co., Ltd.
74;Berkshire Brewing Company Inc.
75;Blue Point Brewing Company
76;Free State Brewing Co.
77;Firestone Walker Brewing Co.
78;Weyerbacher Brewing Co.
79;Weyerbacher Brewing Co.
80;Pelican Pub & Brewery
81;Anchor Brewing Company
82;Firestone Walker Brewing Co.
83;Deschutes Brewery
84;Midnight Sun Brewing Co.
85;Flying Dog Brewery
86;Kuhnhenn Brewing Company
87;J.W. Lees & Co (Brewers) Ltd
88;Dry Dock Brewing Co.
89;J.W. Lees & Co (Brewers) Ltd
90;J.W. Lees & Co (Brewers) Ltd
91;Rock Art Brewery
92;J.W. Lees & Co (Brewers) Ltd
